Release Date,Time,Actual,Forecast,Previous
19-Jun-19,9:30,-3.106M,-1.077M,2.206M
12-Jun-19,9:30,2.206M,-0.481M,6.771M
5-Jun-19,9:30,6.771M,-0.849M,-0.282M
30-May-19,10:00,-0.282M,-0.857M,4.740M
22-May-19,9:30,4.740M,-0.599M,5.431M
15-May-19,9:30,5.431M,-0.800M,-3.963M
8-May-19,9:30,-3.963M,1.215M,9.934M
1-May-19,9:30,9.900M,1.485M,5.479M
24-Apr-19,9:30,5.479M,1.255M,-1.396M
17-Apr-19,9:30,-1.396M,-1.200M,7.029M
10-Apr-19,9:30,7.029M,2.294M,7.238M
3-Apr-19,9:30,7.238M,-0.425M,2.800M
27-Mar-19,9:30,2.800M,-1.100M,-9.589M
20-Mar-19,9:30,-9.589M,0.309M,-3.862M
13-Mar-19,9:30,-3.862M,2.655M,7.069M
6-Mar-19,10:30,7.069M,1.203M,-8.647M
27-Feb-19,10:30,-8.647M,2.842M,3.672M
21-Feb-19,11:00,3.672M,3.080M,3.633M
13-Feb-19,10:30,3.633M,2.668M,1.263M
6-Feb-19,10:30,1.263M,2.179M,0.919M
30-Jan-19,10:30,0.919M,3.100M,7.970M
24-Jan-19,11:00,7.970M,-0.042M,-2.683M
16-Jan-19,10:30,-2.683M,-1.323M,-1.680M
9-Jan-19,10:30,-1.680M,-2.400M,0.007M
4-Jan-19,11:00,0.007M,-3.086M,-0.046M
28-Dec-18,11:00,-0.046M,-2.869M,-0.497M
19-Dec-18,10:30,-0.497M,-2.437M,-1.208M
12-Dec-18,10:30,-1.208M,-2.990M,-7.323M
6-Dec-18,11:00,-7.323M,-0.942M,3.577M
28-Nov-18,10:30,3.577M,0.769M,4.851M
21-Nov-18,10:30,4.851M,2.500M,10.270M
15-Nov-18,11:00,10.270M,3.182M,5.783M
7-Nov-18,10:30,5.783M,2.433M,3.217M
31-Oct-18,9:30,3.217M,4.110M,6.346M
24-Oct-18,9:30,6.346M,3.694M,6.490M
17-Oct-18,9:30,6.490M,1.600M,5.987M
11-Oct-18,10:00,5.987M,2.620M,7.975M
3-Oct-18,9:30,7.975M,1.985M,1.852M
26-Sep-18,9:30,1.852M,-1.279M,-2.057M
19-Sep-18,9:30,-2.057M,-2.741M,-5.296M
12-Sep-18,9:30,-5.296M,-1.300M,-4.302M
6-Sep-18,10:00,-4.302M,-1.294M,-2.566M
29-Aug-18,9:30,-2.566M,-0.686M,-5.836M
22-Aug-18,9:30,-5.836M,-1.497M,6.805M
15-Aug-18,9:30,6.805M,-2.499M,-1.351M
8-Aug-18,9:30,-1.351M,-2.800M,3.803M
1-Aug-18,9:30,3.803M,-2.794M,-6.147M
25-Jul-18,9:30,-6.147M,-2.600M,5.836M
18-Jul-18,9:30,5.836M,-3.622M,-12.633M
11-Jul-18,9:30,-12.633M,-4.489M,1.245M
5-Jul-18,10:00,1.245M,-5.200M,-9.891M
27-Jun-18,9:30,-9.891M,-2.572M,-5.914M
20-Jun-18,9:30,-5.914M,-2.100M,-4.143M
13-Jun-18,9:30,-4.143M,-1.440M,2.072M
6-Jun-18,9:30,2.072M,-2.000M,-3.620M
31-May-18,10:00,-3.620M,-0.400M,5.778M
23-May-18,9:30,5.778M,-1.567M,-1.404M
16-May-18,9:30,-1.404M,-0.763M,-2.197M
9-May-18,9:30,-2.197M,-0.200M,6.218M
2-May-18,9:30,6.218M,0.739M,2.170M
25-Apr-18,9:30,2.170M,-1.600M,-1.071M
18-Apr-18,9:30,-1.071M,-0.500M,3.306M
11-Apr-18,9:30,3.306M,-0.600M,-4.617M
4-Apr-18,9:30,-4.617M,1.400M,1.643M
28-Mar-18,9:30,1.643M,-0.287M,-2.622M
21-Mar-18,9:30,-2.622M,2.600M,5.022M
14-Mar-18,9:30,5.022M,2.023M,2.408M
7-Mar-18,10:30,2.408M,2.723M,3.019M
28-Feb-18,10:30,3.019M,2.400M,-1.616M
22-Feb-18,11:00,-1.616M,1.795M,1.841M
14-Feb-18,10:30,1.841M,2.825M,1.895M
7-Feb-18,10:30,1.895M,3.189M,6.776M
31-Jan-18,10:30,6.776M,0.126M,-1.071M
24-Jan-18,10:30,-1.071M,-1.000M,-6.861M
18-Jan-18,11:00,-6.861M,-3.536M,-4.948M
10-Jan-18,10:30,-4.948M,-3.890M,-7.419M
4-Jan-18,11:00,-7.419M,-5.148M,-4.609M
28-Dec-17,11:00,-4.609M,-3.970M,-6.495M
20-Dec-17,10:30,-6.495M,-3.769M,-5.117M
13-Dec-17,10:30,-5.117M,-3.759M,-5.610M
6-Dec-17,10:30,-5.610M,-3.404M,-3.429M
29-Nov-17,10:30,-3.429M,-2.301M,-1.855M
22-Nov-17,10:30,-1.855M,-1.545M,1.854M
15-Nov-17,10:30,1.854M,-2.200M,2.237M
8-Nov-17,10:30,2.237M,-2.876M,-2.435M
1-Nov-17,9:30,-2.435M,-1.756M,0.856M
25-Oct-17,9:30,0.856M,-2.578M,-5.731M
18-Oct-17,9:30,-5.731M,-4.242M,-2.747M
12-Oct-17,10:00,-2.747M,-1.991M,-6.023M
4-Oct-17,9:30,-6.023M,-0.756M,-1.846M
27-Sep-17,9:30,-1.846M,3.422M,4.591M
20-Sep-17,9:30,4.591M,3.493M,5.888M
13-Sep-17,9:30,5.888M,3.238M,4.580M
7-Sep-17,10:00,4.580M,4.022M,-5.392M
30-Aug-17,9:30,-5.392M,-1.908M,-3.327M
23-Aug-17,9:30,-3.327M,-3.450M,-8.945M
16-Aug-17,9:30,-8.945M,-3.058M,-6.451M
9-Aug-17,9:30,-6.451M,-2.720M,-1.527M
2-Aug-17,9:30,-1.527M,-2.957M,-7.208M
26-Jul-17,9:30,-7.208M,-2.629M,-4.727M
19-Jul-17,9:30,-4.727M,-3.214M,-7.564M
12-Jul-17,9:30,-7.564M,-2.850M,-6.299M
6-Jul-17,10:00,-6.299M,-2.283M,0.118M
28-Jun-17,9:30,0.118M,-2.585M,-2.451M
21-Jun-17,9:30,-2.451M,-2.106M,-1.661M
14-Jun-17,9:30,-1.661M,-2.739M,3.295M
7-Jun-17,9:30,3.295M,-3.464M,-6.428M
1-Jun-17,10:00,-6.428M,-2.517M,-4.432M
24-May-17,9:30,-4.432M,-2.419M,-1.753M
17-May-17,9:30,-1.753M,-2.360M,-5.247M
10-May-17,9:30,-5.247M,-1.786M,-0.930M
3-May-17,9:30,-0.930M,-2.333M,-3.641M
26-Apr-17,9:30,-3.641M,-1.661M,-1.034M
19-Apr-17,9:30,-1.034M,-1.470M,-2.166M
12-Apr-17,9:30,-2.166M,0.087M,1.566M
5-Apr-17,9:30,1.566M,-0.435M,0.867M
29-Mar-17,9:30,0.867M,1.357M,4.954M
22-Mar-17,9:30,4.954M,2.801M,-0.237M
15-Mar-17,9:30,-0.237M,3.713M,8.209M
8-Mar-17,10:30,8.209M,1.967M,1.501M
1-Mar-17,10:30,1.501M,3.079M,0.564M
23-Feb-17,11:00,0.564M,3.475M,9.527M
15-Feb-17,10:30,9.527M,3.513M,13.830M
8-Feb-17,10:30,13.830M,2.529M,6.466M
1-Feb-17,10:30,6.466M,3.289M,2.840M
25-Jan-17,10:30,2.840M,2.815M,2.347M
19-Jan-17,11:00,2.347M,-0.342M,4.097M
11-Jan-17,10:30,4.097M,1.162M,-7.051M
5-Jan-17,11:00,-7.051M,-2.152M,0.614M
29-Dec-16,11:00,0.614M,-2.060M,2.256M
21-Dec-16,10:30,2.256M,-2.515M,-2.563M
14-Dec-16,10:30,-2.563M,-1.584M,-2.389M
7-Dec-16,10:30,-2.389M,-1.032M,-0.884M
30-Nov-16,10:30,-0.884M,0.636M,-1.255M
23-Nov-16,10:30,-1.255M,0.671M,5.274M
16-Nov-16,10:30,5.274M,1.480M,2.432M
9-Nov-16,10:30,2.432M,1.330M,14.420M
2-Nov-16,9:30,14.420M,1.013M,-0.553M
26-Oct-16,9:30,-0.553M,1.699M,-5.200M
19-Oct-16,9:30,-5.247M,2.705M,4.900M
13-Oct-16,10:00,4.900M,0.650M,-2.976M
5-Oct-16,9:30,-2.976M,2.560M,-1.882M
28-Sep-16,9:30,-1.882M,2.995M,-6.200M
21-Sep-16,9:30,-6.200M,3.350M,-0.559M
14-Sep-16,9:30,-0.559M,3.800M,-14.513M
8-Sep-16,10:00,-14.513M,0.225M,2.276M
31-Aug-16,9:30,2.276M,0.921M,2.501M
24-Aug-16,9:30,2.501M,-0.455M,-2.508M
17-Aug-16,9:30,-2.508M,0.522M,1.055M
10-Aug-16,9:30,1.055M,-1.025M,1.413M
3-Aug-16,9:30,1.413M,-1.363M,1.671M
27-Jul-16,9:30,1.671M,-2.257M,-2.342M
20-Jul-16,9:30,-2.342M,-2.100M,-2.546M
13-Jul-16,9:30,-2.546M,-2.950M,-2.223M
7-Jul-16,10:00,-2.223M,-2.250M,-4.053M
29-Jun-16,9:30,-4.053M,-2.365M,-0.917M
22-Jun-16,9:30,-0.917M,-1.671M,-0.933M
15-Jun-16,9:30,-0.933M,-2.260M,-3.226M
8-Jun-16,9:30,-3.226M,-2.740M,-1.366M
2-Jun-16,10:00,-1.366M,-2.490M,-4.226M
25-May-16,9:30,-4.226M,-2.450M,1.310M
18-May-16,9:30,1.310M,-2.833M,-3.410M
11-May-16,9:30,-3.410M,0.714M,2.784M
4-May-16,9:30,2.784M,1.695M,1.999M
27-Apr-16,9:30,1.999M,2.366M,2.080M
